epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,133.62,0.92576,0.65632,0.92454,0.9671,0.98783,0.99289,0.75676,0.80204,0.61488,0.84472,0.000848969,0.000848969,0.000848969
43,136.402,0.89286,0.64792,0.93013,0.95423,0.98107,0.99174,0.76395,0.777,0.6068,0.84226,0.000834822,0.000834822,0.000834822
44,139.129,0.89887,0.6353,0.92074,0.92571,0.97443,0.98158,0.74832,0.81903,0.65,0.84743,0.000820675,0.000820675,0.000820675
45,141.844,0.9114,0.63148,0.92725,0.90291,0.93561,0.96235,0.69948,0.90518,0.71492,0.85965,0.000806528,0.000806528,0.000806528
46,144.564,0.94088,0.65029,0.93129,0.89147,0.95808,0.96874,0.72427,0.85756,0.70819,0.85492,0.00079238,0.00079238,0.00079238
47,147.275,0.90869,0.63911,0.91177,0.94956,0.96564,0.98512,0.74413,0.79765,0.68685,0.84499,0.000778233,0.000778233,0.000778233
48,149.992,0.91503,0.62264,0.92262,0.95479,0.9811,0.98494,0.74781,0.7875,0.58406,0.84259,0.000764086,0.000764086,0.000764086
49,152.73,0.88641,0.6118,0.92424,0.94127,0.97448,0.98328,0.74273,0.77046,0.56294,0.83366,0.000749939,0.000749939,0.000749939
50,155.446,0.83905,0.59352,0.89816,0.97738,0.99805,0.99465,0.72692,0.89187,0.56862,0.85642,0.000735792,0.000735792,0.000735792
51,158.182,0.87543,0.60076,0.92595,0.98938,0.9908,0.9929,0.76495,0.75595,0.53129,0.82876,0.000721645,0.000721645,0.000721645
52,161.007,0.85923,0.582,0.91494,0.9831,0.99598,0.99301,0.76404,0.7795,0.53757,0.836,0.000707498,0.000707498,0.000707498
53,163.756,0.88052,0.61067,0.92197,0.96957,0.98523,0.99332,0.77513,0.71202,0.52585,0.82531,0.000693351,0.000693351,0.000693351
54,166.485,0.87565,0.57817,0.90743,0.98917,0.99481,0.99423,0.75349,0.87203,0.52509,0.84557,0.000679204,0.000679204,0.000679204
55,169.225,0.82377,0.56158,0.90402,0.9841,0.98958,0.99407,0.75783,0.79228,0.51151,0.83038,0.000665057,0.000665057,0.000665057
56,171.944,0.86947,0.56848,0.9227,0.9848,0.99598,0.99226,0.72049,0.92778,0.55735,0.8615,0.000650909,0.000650909,0.000650909
57,174.682,0.85019,0.57469,0.92429,0.98352,0.99197,0.9933,0.70202,1.01841,0.56575,0.89353,0.000636762,0.000636762,0.000636762
58,177.401,0.85395,0.55707,0.89573,0.98436,0.99197,0.99101,0.74564,0.85285,0.5123,0.85168,0.000622615,0.000622615,0.000622615
59,180.139,0.82998,0.5528,0.90625,0.98353,0.99197,0.99131,0.72948,0.9784,0.54912,0.87979,0.000608468,0.000608468,0.000608468
60,182.954,0.83706,0.56393,0.91707,0.9886,0.99387,0.99255,0.79009,0.7559,0.51058,0.82629,0.000594321,0.000594321,0.000594321
61,185.682,0.83226,0.55574,0.90106,0.986,0.99598,0.99233,0.74416,0.86725,0.53162,0.85664,0.000580174,0.000580174,0.000580174
62,188.426,0.82845,0.5642,0.91128,0.98047,0.98399,0.99038,0.74371,0.87458,0.5283,0.84906,0.000566027,0.000566027,0.000566027
63,191.141,0.82707,0.54745,0.89071,0.98836,0.99598,0.99394,0.76166,0.81633,0.51571,0.83717,0.00055188,0.00055188,0.00055188
64,193.91,0.81899,0.54795,0.89678,0.98512,0.98309,0.99398,0.77065,0.75867,0.48143,0.8248,0.000537733,0.000537733,0.000537733
65,196.624,0.82775,0.5512,0.90174,0.98182,0.99504,0.99359,0.77364,0.76958,0.48963,0.83238,0.000523586,0.000523586,0.000523586
66,199.342,0.82536,0.55752,0.89627,0.98641,0.99332,0.9938,0.7763,0.75272,0.47586,0.83003,0.000509438,0.000509438,0.000509438
67,202.052,0.81544,0.5573,0.89989,0.9867,1,0.995,0.76444,0.77625,0.47299,0.8326,0.000495291,0.000495291,0.000495291
68,204.804,0.78185,0.51581,0.89044,0.97689,0.98284,0.98912,0.75112,0.86832,0.51712,0.85216,0.000481144,0.000481144,0.000481144
69,207.52,0.78012,0.51395,0.88544,0.98951,0.99598,0.99379,0.77842,0.76801,0.48906,0.833,0.000466997,0.000466997,0.000466997
70,210.278,0.79603,0.528,0.89974,0.98884,0.99598,0.9945,0.75673,0.87198,0.49205,0.86642,0.00045285,0.00045285,0.00045285
71,212.985,0.81948,0.53364,0.90784,0.98763,0.99389,0.99439,0.78871,0.74622,0.47182,0.83219,0.000438703,0.000438703,0.000438703
72,215.7,0.78638,0.52483,0.89181,0.98987,0.99598,0.99436,0.76199,0.87939,0.49614,0.86844,0.000424556,0.000424556,0.000424556
73,218.46,0.77295,0.52455,0.89346,0.99127,0.99598,0.99418,0.74011,0.96591,0.52521,0.88458,0.000410409,0.000410409,0.000410409
74,221.18,0.76701,0.50724,0.87042,0.99019,0.99598,0.99407,0.80912,0.69065,0.45019,0.81436,0.000396262,0.000396262,0.000396262
75,223.928,0.808,0.51906,0.88605,0.99032,0.99598,0.99405,0.7975,0.7512,0.4632,0.82097,0.000382115,0.000382115,0.000382115
76,226.652,0.7746,0.50233,0.88685,0.98763,0.99598,0.99375,0.80274,0.65947,0.43572,0.8101,0.000367967,0.000367967,0.000367967
77,229.364,0.77624,0.50182,0.8934,0.98821,0.99598,0.99251,0.80256,0.67099,0.45229,0.81254,0.00035382,0.00035382,0.00035382
78,232.083,0.8015,0.51026,0.88708,0.98303,0.99197,0.99059,0.77064,0.70674,0.45932,0.81759,0.000339673,0.000339673,0.000339673
79,234.859,0.78541,0.51125,0.89701,0.98637,0.99598,0.99371,0.8064,0.66535,0.44045,0.81222,0.000325526,0.000325526,0.000325526
80,237.606,0.75514,0.49299,0.88082,0.9926,1,0.995,0.80078,0.67405,0.43297,0.80824,0.000311379,0.000311379,0.000311379
81,240.315,0.70901,0.46926,0.87001,0.98708,0.99523,0.99377,0.78414,0.70759,0.44211,0.81551,0.000297232,0.000297232,0.000297232
82,243.06,0.77112,0.49415,0.88117,0.99116,0.99572,0.99423,0.81353,0.66765,0.42604,0.81171,0.000283085,0.000283085,0.000283085
83,245.77,0.76017,0.50324,0.88818,0.9898,0.99409,0.99239,0.80502,0.7026,0.42446,0.81709,0.000268938,0.000268938,0.000268938
84,248.511,0.72802,0.46306,0.86896,0.98975,0.99446,0.99468,0.81422,0.64798,0.40422,0.80613,0.000254791,0.000254791,0.000254791
85,251.225,0.75099,0.48181,0.87418,0.99505,0.9973,0.995,0.78141,0.75457,0.43221,0.82036,0.000240644,0.000240644,0.000240644
86,253.972,0.72488,0.47401,0.88621,0.99533,1,0.995,0.74283,0.9054,0.47586,0.84983,0.000226497,0.000226497,0.000226497
87,256.685,0.72594,0.47291,0.87653,0.9913,0.99485,0.99264,0.78178,0.74355,0.44617,0.81937,0.000212349,0.000212349,0.000212349
88,259.499,0.71543,0.45254,0.8791,0.98736,0.99413,0.99286,0.78693,0.73004,0.43161,0.81815,0.000198202,0.000198202,0.000198202
89,262.242,0.74166,0.47604,0.87531,0.99536,0.99951,0.995,0.80032,0.71227,0.41861,0.8141,0.000184055,0.000184055,0.000184055
90,264.968,0.7238,0.46649,0.8784,0.99324,0.99954,0.995,0.79114,0.71683,0.41848,0.81433,0.000169908,0.000169908,0.000169908
91,269.083,0.70383,0.46282,0.84674,0.9872,0.99598,0.99235,0.78535,0.71225,0.42671,0.8143,0.000155761,0.000155761,0.000155761
92,271.852,0.70773,0.45322,0.83201,0.9801,0.99197,0.98861,0.78749,0.69394,0.45173,0.81112,0.000141614,0.000141614,0.000141614
93,274.562,0.73732,0.48065,0.85101,0.98313,0.99598,0.99225,0.80241,0.67717,0.45067,0.8079,0.000127467,0.000127467,0.000127467
94,277.288,0.70028,0.44714,0.84974,0.98269,0.99598,0.99201,0.79262,0.68996,0.43586,0.81098,0.00011332,0.00011332,0.00011332
95,280.029,0.67477,0.43135,0.84166,0.98738,0.99482,0.99242,0.79501,0.68393,0.42016,0.81179,9.91726e-05,9.91726e-05,9.91726e-05
96,282.741,0.65955,0.42224,0.8429,0.99227,0.99685,0.995,0.7913,0.70791,0.41733,0.81574,8.50255e-05,8.50255e-05,8.50255e-05
97,285.526,0.66727,0.42,0.82541,0.99516,0.9992,0.995,0.77781,0.73876,0.4231,0.81957,7.08784e-05,7.08784e-05,7.08784e-05
98,288.246,0.66871,0.42083,0.83798,0.99525,0.99985,0.995,0.7812,0.74352,0.42477,0.8186,5.67313e-05,5.67313e-05,5.67313e-05
99,290.951,0.65434,0.40799,0.84272,0.99515,0.9998,0.995,0.78627,0.73182,0.42419,0.81627,4.25842e-05,4.25842e-05,4.25842e-05
100,293.662,0.64958,0.41778,0.82683,0.99511,1,0.995,0.79335,0.70645,0.42074,0.81224,2.84371e-05,2.84371e-05,2.84371e-05
